Run,agent,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,condition_replicate,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,lean_or_fatty,Library Name,LibraryLayout,LibrarySelection,LibrarySource,liver_id,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,transplant_viability,treatment
SRR19169735,Control,RNA-Seq,300,9753873900,PRJNA836578,SAMN28193977,3258857260,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",3,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX15235319,Illumina HiSeq 4000,Fatty,GSM6124548,PAIRED,cDNA,TRANSCRIPTOMIC,CV-1,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:43:00Z,1,GSM6124548,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 0 hours"
SRR19169736,Control,RNA-Seq,300,10178140200,PRJNA836578,SAMN28193978,3382610459,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",3,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX15235318,Illumina HiSeq 4000,Fatty,GSM6124547,PAIRED,cDNA,TRANSCRIPTOMIC,CV-1,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T15:10:00Z,1,GSM6124547,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 6 hours"
SRR19169737,Control,RNA-Seq,300,10327026300,PRJNA836578,SAMN28193979,3437828212,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",3,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15235317,Illumina HiSeq 4000,Fatty,GSM6124546,PAIRED,cDNA,TRANSCRIPTOMIC,CV-1,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:53:00Z,1,GSM6124546,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 3 hours"
SRR19169738,Control,RNA-Seq,300,10204924500,PRJNA836578,SAMN28193980,3410549878,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",2,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX15235316,Illumina HiSeq 4000,Fatty,GSM6124545,PAIRED,cDNA,TRANSCRIPTOMIC,CV-5,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:46:00Z,1,GSM6124545,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 0 hours"
SRR19169739,Control,RNA-Seq,300,8826393000,PRJNA836578,SAMN28193981,2943638001,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",2,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX15235315,Illumina HiSeq 4000,Fatty,GSM6124544,PAIRED,cDNA,TRANSCRIPTOMIC,CV-5,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:49:00Z,1,GSM6124544,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 6 hours"
SRR19169740,Control,RNA-Seq,300,8647229700,PRJNA836578,SAMN28193982,2891835069,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",2,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX15235314,Illumina HiSeq 4000,Fatty,GSM6124543,PAIRED,cDNA,TRANSCRIPTOMIC,CV-5,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:44:00Z,1,GSM6124543,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 3 hours"
SRR19169741,Control,RNA-Seq,300,8964470400,PRJNA836578,SAMN28193983,3003032388,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",1,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15235313,Illumina HiSeq 4000,Fatty,GSM6124542,PAIRED,cDNA,TRANSCRIPTOMIC,Excluded,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:46:00Z,1,GSM6124542,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 0 hours"
SRR19169742,Control,RNA-Seq,300,9920977500,PRJNA836578,SAMN28193984,3294312330,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",1,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX15235312,Illumina HiSeq 4000,Fatty,GSM6124541,PAIRED,cDNA,TRANSCRIPTOMIC,Excluded,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:47:00Z,1,GSM6124541,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 6 hours"
SRR19169743,Control,RNA-Seq,300,8384892000,PRJNA836578,SAMN28193985,2783428880,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",1,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX15235311,Illumina HiSeq 4000,Fatty,GSM6124540,PAIRED,cDNA,TRANSCRIPTOMIC,Excluded,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:45:00Z,1,GSM6124540,Liver,SRP374746,Adequate Hepatic Function,"perfusion\, 3 hours"
SRR19169744,Control,RNA-Seq,300,10860080400,PRJNA836578,SAMN28193986,3631560657,"PEDIATRIC ENDOCRINOLOGY, RHODE ISLAND HOSPITAL",3,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15235310,Illumina HiSeq 4000,Fatty,GSM6124539,PAIRED,cDNA,TRANSCRIPTOMIC,CN-1,Homo sapiens,ILLUMINA,2022-07-11T00:00:00Z,2022-05-11T14:51:00Z,1,GSM6124539,Liver,SRP374746,Inadequate Hepatic Function,"perfusion\, 0 hours"
